Product,,,,,,,,,,,,,,,,,,,Gender,Time
spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread,,,,,,,,,,,,1,2018-06-17 20:25
shrimp,pasta,mineral water,eggs,,,,,,,,,,,,,,,,0,2018-10-28 16:47
burgers,oil,tomato juice,fresh bread,,,,,,,,,,,,,,,,1,2018-09-09 17:10
french wine,eggs,chocolate,low fat yogurt,,,,,,,,,,,,,,,,0,2018-09-16 0:14
chicken,eggs,french fries,pancakes,,,,,,,,,,,,,,,,1,2018-07-12 23:59
turkey,herb & pepper,salmon,white wine,candy bars,,,,,,,,,,,,,,,0,2018-11-01 17:56
grated cheese,spaghetti,olive oil,eggs,french fries,green tea,,,,,,,,,,,,,,1,2018-10-25 0:13
mineral water,energy bar,,,,,,,,,,,,,,,,,,0,2018-10-25 22:58
eggs,french fries,,,,,,,,,,,,,,,,,,1,2018-08-14 23:35
burgers,tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice,,,,,,,,,,,0,2018-07-03 22:23
muffins,,,,,,,,,,,,,,,,,,,1,2018-07-03 22:35
pasta,,,,,,,,,,,,,,,,,,,0,2018-07-10 23:14
tomatoes,spaghetti,frozen smoothie,,,,,,,,,,,,,,,,,1,2018-07-17 23:34
ground beef,spaghetti,milk,,,,,,,,,,,,,,,,,0,2018-06-26 16:14
french fries,,,,,,,,,,,,,,,,,,,1,2018-11-20 0:37
chocolate,milk,,,,,,,,,,,,,,,,,,0,2018-11-20 0:44
burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt,,,,,,,,1,2018-07-18 0:15
ground beef,mineral water,antioxydant juice,protein bar,,,,,,,,,,,,,,,,0,2018-07-18 23:01
grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink,,,,,,,,,,,,,,1,2018-10-03 16:25
grated cheese,,,,,,,,,,,,,,,,,,,0,2018-10-24 0:13
pancakes,,,,,,,,,,,,,,,,,,,1,2018-10-24 0:25
frozen smoothie,,,,,,,,,,,,,,,,,,,0,2018-09-05 22:32
carrots,green tea,,,,,,,,,,,,,,,,,,1,2018-09-05 23:59
chocolate,,,,,,,,,,,,,,,,,,,0,2018-12-22 2:09
turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn,,,,,,,,,,,,,1,2018-11-25 4:24
frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread,,,,,,,,0,2018-02-14 4:11
cookies,,,,,,,,,,,,,,,,,,,1,2018-11-27 1:08
ground beef,,,,,,,,,,,,,,,,,,,0,2018-12-19 2:34
turkey,eggs,chocolate,frozen smoothie,tomato juice,,,,,,,,,,,,,,,1,2018-02-01 17:46
frozen vegetables,cooking oil,mashed potato,,,,,,,,,,,,,,,,,0,2018-07-20 13:35
frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice,,,,,,,,,,,,1,2018-05-04 21:22
red wine,spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie,,,,,,,,,0,2018-05-25 23:15
chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies,,,,,,,,,1,2018-04-09 18:57
chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs,,,,,,,,,,,,0,2018-04-09 22:29
turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries,,,,,,,,,,,1,2018-02-11 22:01
cookies,,,,,,,,,,,,,,,,,,,0,2018-05-07 12:27
turkey,tomatoes,cake,,,,,,,,,,,,,,,,,1,2018-05-07 13:12
yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne,,,,,,,,,,0,2018-11-26 16:09
rice,,,,,,,,,,,,,,,,,,,1,2018-04-07 18:51
chocolate,milk,,,,,,,,,,,,,,,,,,0,2018-04-14 14:09
shrimp,pasta,frozen vegetables,water spray,,,,,,,,,,,,,,,,1,2018-04-28 14:18
burgers,mineral water,milk,eggs,whole wheat rice,mint,,,,,,,,,,,,,,0,2018-07-07 13:19
mineral water,vegetables mix,cake,frozen smoothie,brownies,,,,,,,,,,,,,,,1,2018-07-21 0:12
cookies,,,,,,,,,,,,,,,,,,,0,2018-06-09 14:48
shrimp,pasta,chicken,chocolate bread,,,,,,,,,,,,,,,,1,2018-06-09 17:34
shallot,,,,,,,,,,,,,,,,,,,0,2018-05-05 23:55
shrimp,pasta,spaghetti,eggs,hot dogs,green tea,,,,,,,,,,,,,,1,2018-09-15 23:17
burgers,,,,,,,,,,,,,,,,,,,0,2018-04-15 16:15
red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil,,,,,,,,,,,1,2018-04-22 17:16
burgers,grated cheese,spaghetti,avocado,milk,oil,french fries,,,,,,,,,,,,,0,2018-12-09 15:45
herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil,,,,,,,,,,,,,,,1,2018-02-03 15:11
shrimp,pasta,yams,milk,chocolate,,,,,,,,,,,,,,,0,2018-04-12 23:14
butter,green tea,,,,,,,,,,,,,,,,,,1,2018-04-19 13:08
light mayo,,,,,,,,,,,,,,,,,,,0,2018-04-26 12:57
low fat yogurt,,,,,,,,,,,,,,,,,,,1,2018-04-26 13:12
herb & pepper,shrimp,pasta,spaghetti,milk,,,,,,,,,,,,,,,0,2018-05-03 18:32
burgers,eggs,,,,,,,,,,,,,,,,,,1,2018-05-31 17:06
turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread,,,,,,,0,2018-11-29 0:54
cookies,,,,,,,,,,,,,,,,,,,1,2018-10-25 14:37
escalope,,,,,,,,,,,,,,,,,,,0,2018-09-13 17:12
pepper,french fries,strawberries,pancakes,low fat yogurt,,,,,,,,,,,,,,,1,2018-04-03 19:35
frozen vegetables,yams,chicken,honey,light mayo,,,,,,,,,,,,,,,0,2018-04-17 14:02
chocolate,champagne,,,,,,,,,,,,,,,,,,1,2018-08-14 0:06
herb & pepper,honey,cake,rice,protein bar,,,,,,,,,,,,,,,0,2018-05-08 14:41
burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus,,,,,,,,,,,,1,2018-05-15 13:04
chocolate,mineral water,corn,cottage cheese,green tea,,,,,,,,,,,,,,,0,2018-05-29 20:55
muffins,,,,,,,,,,,,,,,,,,,1,2018-04-11 23:09
ham,french wine,escalope,,,,,,,,,,,,,,,,,0,2018-04-18 23:12
spaghetti,milk,whole wheat rice,mint green tea,,,,,,,,,,,,,,,,1,2018-01-30 20:09
chocolate,body spray,,,,,,,,,,,,,,,,,,0,2018-06-27 0:22
frozen vegetables,french fries,hot dogs,,,,,,,,,,,,,,,,,1,2018-10-24 15:12
candy bars,,,,,,,,,,,,,,,,,,,0,2018-09-05 23:19
burgers,shrimp,pasta,milk,green tea,french fries,cookies,white wine,,,,,,,,,,,,1,2018-02-01 17:52
parmesan cheese,ground beef,,,,,,,,,,,,,,,,,,0,2018-05-04 12:24
pancakes,whole wheat rice,candy bars,,,,,,,,,,,,,,,,,1,2018-05-11 17:26
eggs,eggplant,cookies,,,,,,,,,,,,,,,,,0,2018-05-25 18:49
frozen vegetables,mineral water,,,,,,,,,,,,,,,,,,1,2018-10-26 21:29
chocolate,,,,,,,,,,,,,,,,,,,0,2018-08-11 20:36
turkey,spaghetti,milk,whole wheat rice,chocolate,,,,,,,,,,,,,,,1,2018-08-18 18:04
whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar,,,,,,,,,0,2018-12-01 20:09
cooking oil,tomato juice,,,,,,,,,,,,,,,,,,1,2018-10-27 19:48
frozen vegetables,milk,eggs,french fries,green tea,,,,,,,,,,,,,,,0,2018-12-02 20:06
fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo,,,,,,,,,,,1,2018-08-09 22:57
red wine,honey,hot dogs,,,,,,,,,,,,,,,,,0,2018-01-29 19:30
milk,bacon,eggs,french fries,fresh bread,,,,,,,,,,,,,,,1,2018-07-06 0:20
french fries,yogurt cake,,,,,,,,,,,,,,,,,,0,2018-06-18 19:46
milk,,,,,,,,,,,,,,,,,,,1,2018-04-21 15:41
french fries,,,,,,,,,,,,,,,,,,,0,2018-04-21 16:53
chocolate,,,,,,,,,,,,,,,,,,,1,2018-04-21 19:38
burgers,ham,red wine,,,,,,,,,,,,,,,,,0,2018-05-12 20:09
shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies,,,,,,,,,,,1,2018-07-15 19:12
green tea,,,,,,,,,,,,,,,,,,,0,2018-05-06 18:36
low fat yogurt,,,,,,,,,,,,,,,,,,,1,2018-05-13 19:12
turkey,spaghetti,mineral water,soup,spinach,soda,energy drink,salt,,,,,,,,,,,,0,2018-05-17 23:18
turkey,eggs,,,,,,,,,,,,,,,,,,1,2018-04-24 20:19
bug spray,hot dogs,,,,,,,,,,,,,,,,,,0,2018-07-03 2:13
oil,,,,,,,,,,,,,,,,,,,1,2018-04-25 16:26
soup,energy bar,chicken,eggs,cake,french fries,body spray,strawberries,,,,,,,,,,,,0,2018-04-25 22:59
spaghetti,chocolate,yogurt cake,,,,,,,,,,,,,,,,,1,2018-12-12 0:40
turkey,mineral water,meatballs,,,,,,,,,,,,,,,,,0,2018-07-04 16:31
ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs,,,,,,,,,,,,,,1,2018-08-10 0:45
frozen vegetables,mineral water,vegetables mix,escalope,,,,,,,,,,,,,,,,0,2018-05-25 22:47
herb & pepper,red wine,tomatoes,,,,,,,,,,,,,,,,,1,2018-04-14 22:44
whole wheat pasta,olive oil,cereals,brownies,green tea,,,,,,,,,,,,,,,0,2018-08-18 15:34
cookies,,,,,,,,,,,,,,,,,,,1,2018-08-18 19:54
olive oil,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,,0,2018-05-19 21:32
ground beef,pancakes,cooking oil,gluten free bar,light mayo,,,,,,,,,,,,,,,1,2018-04-22 20:06
mineral water,french fries,,,,,,,,,,,,,,,,,,0,2018-07-29 0:36
herb & pepper,,,,,,,,,,,,,,,,,,,1,2018-07-29 19:07
salmon,,,,,,,,,,,,,,,,,,,0,2018-06-03 18:14
eggs,escalope,,,,,,,,,,,,,,,,,,1,2018-04-12 22:42
mineral water,tomato juice,,,,,,,,,,,,,,,,,,0,2018-04-19 13:46
mineral water,,,,,,,,,,,,,,,,,,,1,2018-04-19 22:56
shrimp,mineral water,soup,black tea,,,,,,,,,,,,,,,,0,2018-07-05 21:25
cake,frozen smoothie,,,,,,,,,,,,,,,,,,1,2018-05-03 17:48
turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice,,,,,,,,,,,,0,2018-05-03 17:59
frozen vegetables,ground beef,mineral water,olive oil,pancakes,,,,,,,,,,,,,,,1,2018-05-17 18:19
turkey,burgers,ground beef,milk,olive oil,cake,fresh bread,,,,,,,,,,,,,0,2018-04-10 23:11
whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar,,,,,,,,,,1,2018-06-05 0:06
eggs,whole wheat rice,cake,green tea,escalope,,,,,,,,,,,,,,,0,2018-05-15 14:46
ground beef,yams,soup,avocado,salmon,green tea,,,,,,,,,,,,,,1,2018-05-15 22:52
milk,,,,,,,,,,,,,,,,,,,0,2018-04-18 23:08
spaghetti,chocolate,,,,,,,,,,,,,,,,,,1,2018-07-04 19:51
whole wheat pasta,honey,,,,,,,,,,,,,,,,,,0,2018-05-09 0:34
whole wheat pasta,green tea,,,,,,,,,,,,,,,,,,1,2018-10-17 13:44
spaghetti,meatballs,vegetables mix,chocolate,,,,,,,,,,,,,,,,0,2018-10-24 22:44
eggs,low fat yogurt,,,,,,,,,,,,,,,,,,1,2018-09-05 22:28
fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice,,,,,,,,,,,0,2018-04-23 23:39
mineral water,green grapes,hot dogs,fresh bread,,,,,,,,,,,,,,,,1,2018-06-04 1:40
frozen vegetables,meatballs,eggs,chocolate,,,,,,,,,,,,,,,,0,2018-05-28 1:40
chocolate,,,,,,,,,,,,,,,,,,,1,2018-07-08 12:39
meatballs,milk,,,,,,,,,,,,,,,,,,0,2018-07-08 15:20
low fat yogurt,,,,,,,,,,,,,,,,,,,1,2018-07-22 13:53
green tea,,,,,,,,,,,,,,,,,,,0,2018-06-03 1:40
escalope,pasta,,,,,,,,,,,,,,,,,,1,2018-09-06 0:08
pepper,chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines,,,,,,,,,,,0,2018-07-10 22:02
red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea,,,,,,,,,,,,,1,2018-05-29 1:40
burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea,,,,,,,,,,,,,0,2018-05-30 1:40
french wine,cake,fresh bread,,,,,,,,,,,,,,,,,1,2018-04-06 15:16
burgers,frozen vegetables,flax seed,eggs,,,,,,,,,,,,,,,,0,2018-04-13 22:04
red wine,,,,,,,,,,,,,,,,,,,1,2018-04-13 22:18
pepper,mineral water,energy bar,green grapes,,,,,,,,,,,,,,,,0,2018-05-04 20:44
milk,eggs,cake,chocolate,french fries,green tea,,,,,,,,,,,,,,1,2018-05-04 21:16
french fries,,,,,,,,,,,,,,,,,,,1,2018-05-04 21:49
almonds,,,,,,,,,,,,,,,,,,,0,2018-05-11 22:02
burgers,mineral water,green tea,,,,,,,,,,,,,,,,,1,2018-11-23 13:39
milk,pancakes,,,,,,,,,,,,,,,,,,0,2018-04-09 23:15
pancakes,eggs,salt,tomato juice,,,,,,,,,,,,,,,,1,2018-04-23 23:04
mineral water,,,,,,,,,,,,,,,,,,,0,2018-01-14 4:14
ham,spaghetti,mineral water,olive oil,,,,,,,,,,,,,,,,1,2018-01-21 21:03
salt,tomato juice,fresh bread,,,,,,,,,,,,,,,,,0,2018-07-16 23:48
spaghetti,mushroom cream sauce,,,,,,,,,,,,,,,,,,1,2018-06-11 22:33
spaghetti,mineral water,eggs,pet food,,,,,,,,,,,,,,,,0,2018-05-07 21:58
frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,1,2018-05-07 21:58
energy drink,,,,,,,,,,,,,,,,,,,0,2018-05-14 22:31
muffins,,,,,,,,,,,,,,,,,,,1,2018-05-14 22:50
turkey,milk,,,,,,,,,,,,,,,,,,0,2018-05-28 1:52
cookies,,,,,,,,,,,,,,,,,,,1,2018-05-28 14:22
chocolate,,,,,,,,,,,,,,,,,,,0,2018-05-28 18:53
spaghetti,mineral water,eggs,cooking oil,chocolate,escalope,,,,,,,,,,,,,,1,2018-05-28 23:00
shrimp,frozen vegetables,pepper,spaghetti,green tea,,,,,,,,,,,,,,,0,2018-11-26 22:04
burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt,,,,,,,,,,,,,1,2018-10-08 19:45
pancakes,eggs,energy drink,fresh bread,,,,,,,,,,,,,,,,0,2018-04-14 20:48
strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs,,,,,,,,,,,,,,1,2018-04-14 21:19
grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich,,,,,,,,,,,,,0,2018-04-21 19:32
herb & pepper,whole wheat pasta,olive oil,pancakes,eggs,,,,,,,,,,,,,,,1,2018-04-28 21:26
spaghetti,antioxydant juice,,,,,,,,,,,,,,,,,,0,2018-12-29 16:28
chocolate,milk,almonds,eggs,strawberries,white wine,,,,,,,,,,,,,,1,2018-02-02 20:46
french fries,strawberries,,,,,,,,,,,,,,,,,,0,2018-06-02 22:43
mineral water,,,,,,,,,,,,,,,,,,,1,2018-06-09 23:11
eggs,,,,,,,,,,,,,,,,,,,0,2018-06-30 19:28
escalope,,,,,,,,,,,,,,,,,,,1,2018-05-05 0:43
cake,,,,,,,,,,,,,,,,,,,0,2018-05-19 19:03
whole wheat pasta,antioxydant juice,body spray,green tea,,,,,,,,,,,,,,,,1,2018-05-26 23:42
mineral water,oil,frozen smoothie,,,,,,,,,,,,,,,,,0,2018-11-24 19:42
french fries,champagne,,,,,,,,,,,,,,,,,,1,2018-11-24 21:02
chocolate,french fries,,,,,,,,,,,,,,,,,,0,2018-10-27 17:40
frozen vegetables,spaghetti,eggs,,,,,,,,,,,,,,,,,1,2018-10-27 23:58
hot dogs,,,,,,,,,,,,,,,,,,,0,2018-04-08 21:13
chocolate,cookies,,,,,,,,,,,,,,,,,,1,2018-04-15 14:22
pancakes,,,,,,,,,,,,,,,,,,,0,2018-04-15 16:06
shrimp,butter,chicken,salmon,,,,,,,,,,,,,,,,1,2018-04-15 17:53
chocolate,cookies,babies food,,,,,,,,,,,,,,,,,0,2018-04-15 20:59
pepper,spaghetti,cake,chocolate,french fries,fresh bread,,,,,,,,,,,,,,1,2018-04-15 21:42
avocado,oil,cereals,french fries,,,,,,,,,,,,,,,,0,2018-04-22 13:48
herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt,,,,,,,,,1,2018-04-22 19:46
herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries,,,,,,,,,,,,,0,2018-04-22 20:10
french fries,,,,,,,,,,,,,,,,,,,1,2018-04-22 20:49
green tea,tomato juice,,,,,,,,,,,,,,,,,,0,2018-04-29 1:52
